Year,Type,Authors,Publication,Volume,Pages,ISSN,Title,Impreso,PDF,Group,DOI,Type II,Proyect ID,Institution Authors,Colciencias Clasification,Impact Factor,Proyecto,NPages
2001,Internacional,"Kuriplach, Jan; Van Petegem, Steven; Hou, Marc; Zhurkin, EE; Van Swygenhoven, Helena; Dalla Torre, Florian; Van Tendeloo, Gustaaf; Yandouzi, M; Schryvers, Dominick; Segers, Danny; ",Materials Science Forum,363,94,0255-5476,Positron annihilation study of nanocrystalline Ni3Al: Simulations and measurements,,,,Not DOI,,,,C,"-1,0",,3
2008,Internacional,"Uribe, JD; Osorio, J; Barrero, CA; Girata, D; Morales, AL; Hoffmann, A; ",Microelectronics Journal,39,1391,0026-2692,Physical properties in thin films of iron oxides,,,GES: Estado Sólido,10.1016/j.mejo.2008.01.054,,,Osorio Vélez Jaime; Barrero Meneses César A.; Girata Doris; Morales Aramburo Álvaro,A2,"0,859",,3
2006,Nacional,"Pérez, FR; García, KE; Morales, AL; Sánchez, LC; Arboleda, JD; Mira, JM; Osorio, J; Greneche, JM; Barrero, CA; ",Revista Colombiana de Física,38,,0120-2650,MARINE CORROSION OF IRON: MATHEMATICAL MODELLING OF THE PROCESSES AND MEASUREMENT OF LOST MASS.,,,GES: Estado Sólido; GFIF: Grupo de Fenomenología de Interacciones Fundamentales,Not DOI,,,Morales Aramburo Álvaro; Mira Martínez Jesús María; Osorio Vélez Jaime; Barrero Meneses César A.,B,"-1,0",,
1987,Internacional,"Almbladh, C-O; Morales, AL; ",Le Journal de Physique Colloques,48,9,0000-0000,Importance of surface effects and dynamical core-hole effects in Auger spectra of metals and semiconductors,,,GES: Estado Sólido,10.1051/jphyscol:19879157,,,Morales Aramburo Álvaro,00,"-1,0",,1770
2003,Internacional,"Barrero, CA; Vandenberghe, RE; De Grave, Eddy; Morales, AL; Perez, G; ",Hyperfine Interactions,148,337,0304-3843,The experimental nuclear quadrupole interaction in synthetic Al-goethites of varying crystallinity,,,GES: Estado Sólido,10.1023/B:HYPE.0000003796.91461.8a,,,Barrero Meneses César A.; Morales Aramburo Álvaro,C,"-1,0",,8
2009,Nacional,"Castaño, Johanna; Restrepo, Iván; Calderón, Jorge; Morales, Álvaro; Echavarría, Alejandro; ",Revista Facultad de Ingeniería Universidad de Antioquia,0,17,0120-6230,Evaluación de la influencia del cobre y el níquel en la cinética de corrosión de los aceros autoprotectores por espectroscopía de impedancia in situ y ex situ,,,GES: Estado Sólido,Not DOI,,,Morales Aramburo Álvaro,A1,"-1,0",,14
2003,Internacional,"Pérez, G; Barrero, C; Morales, A; Tobon, J; Garnache, O; Rodríguez, C; Arroyave, C; ",Revista de Metalurgia,39,68,0034-8570,"Óxidos de hierro relacionados con la corrosión: hematitas dopadas con Cu, Mn y Cr",,,GES: Estado Sólido,Not DOI,,,Barrero Meneses César A.; Morales Aramburo Álvaro,A2,"-1,0",,4
2005,Nacional,"Beltrána, JJ; Novegil-Anleob, FJ; Minotasb, J; Garcíab, KE; Morales, AL; Péreza, G; Tobóna, J; Barrero, CA; ",Revista Colombiana de Física,37,211,0120-2650,Comportamiento de óxihidroxidos de hierro en soluciones que contienen acidos tánico y fosfórico,,,GES: Estado Sólido,Not DOI,,,Morales Aramburo Álvaro; Barrero Meneses César A.,B,"-1,0",,-1
2009,Nacional,"García, Karen Edilma; Barrero, Cesar Augusto; Morales, Alvaro Luis; Greneche, Jean-Marc; ",Revista Facultad de Ingeniería Universidad de Antioquia,0,185,0120-6230,Magnetic structure of synthetic akaganeite: A review of Mössbauer data,,,GES: Estado Sólido,Not DOI,,,Morales Aramburo Álvaro,A1,"-1,0",,7
2003,Internacional,"Bolivar, F; Barrero, CA; Minotas, J; Morales, AL; Greneche, J-M; ",Hyperfine Interactions,148,219,0304-3843,Variable temperature mössbauer study of some rust converters,,,GES: Estado Sólido,Not DOI,,,Barrero Meneses César A.; Morales Aramburo Álvaro,C,"-1,0",,7
2011,Internacional,"Arroyo, Raúl A; Aguilar, Yesid; Morales, Alvaro; Pérez Alcázar, AG; ",Revista de Ciencias,10,59,0011-5258,Estudio Metalúrgico de la Solubilidad del Acero Estructural Al C-Mn de Alta Resistencia ASTM a 615-60,,,GES: Estado Sólido,Not DOI,,,Morales Aramburo Álvaro,A1,"-1,0",,9
2011,Internacional,"Urquijo, JP; Casanova, Herley; Garces, Javier; Morales, Alvaro L; ",Hyperfine Interactions,203,85,0304-3843,Synthesis of magnetic nanoparticles: effects of polyelectrolyte concentration and pH,,,GES: Estado Sólido,10.1007/978-94-007-4301-4_32,,,Morales Aramburo Álvaro,C,"-1,0",,7
2011,Internacional,"Morales, AL; Velásquez, AA; Urquijo, JP; Baggio, E; ",Hyperfine Interactions,203,75,0304-3843,Synthesis and characterization of Cu2+ substituted magnetite,,,GES: Estado Sólido,10.1007/978-94-007-4301-4_31,,,Morales Aramburo Álvaro,C,"-1,0",,10
1983,Internacional,"Almbladh, C-O; Morales, AL; ",Physical Review B,28,7362,1098-0121,Phonon effects in deep-level spectra of metals: Beyond the linear-screening and linear-coupling models,,,GES: Estado Sólido,10.1103/PhysRevB.28.7362,,,Morales Aramburo Álvaro,A1,"3,322",,-1
2011,Nacional,"Mejía, E; Ospina, JD; Osorno, BL; Márquez, MA; Morales, AL; ",Revista Colombiana de Biotecnología,13,132,0123-3475,"Adaptación de una cepa compatible con Acidithiobacillus ferrooxidans sobre concentrados de calcopirita (CuFeS2), esfalerita (ZnS) y galena (PbS)",,,GES: Estado Sólido,Not DOI,,,Morales Aramburo Álvaro,A2,"-1,0",,-1
2010,Internacional,"MORILLO, VIVIANA; SALAZAR, ALEJANDRO; MÁRQUEZ, MARCO; MORALES, ALVARO; LINS, ULYSSES; ",Dyna,77,93,0930-7575,CRISTALES BIOGÉNICOS DE MAGNETOCOCOS DE LA REPRESA LA FE Y LAGO CALIMA (COLOMBIA),,,GES: Estado Sólido,Not DOI,,,Morales Aramburo Álvaro,A1,"3,917",,11
2009,Nacional,"Castaño, Johanna; Restrepo, Iván; Calderón, Jorge; Morales, Álvaro; Echavarría, Alejandro; ",Revista Facultad de Ingeniería Universidad de Antioquia,0,17,0120-6230,Assesment of the influence of copper and nickel on the corrosion kinetics of weathering steels by in situ and ex situ impedance spectroscopy,,,GES: Estado Sólido,Not DOI,,,Morales Aramburo Álvaro,A1,"-1,0",,14
2003,Internacional,"Barrero, CA; Rios, JF; Morales, AL; Bohórquez, A; Pérez-Alcazar, G; ",Hyperfine Interactions,148,211,0304-3843,On the analysis of the Mössbauer spectra of the rust converted by tannic and phosphoric acids,,,GES: Estado Sólido,Not DOI,,,Barrero Meneses César A.; Morales Aramburo Álvaro,C,"-1,0",,7
2009,Internacional,"Mejía, ER; Ospina, JD; Márquez, MA; Morales, AL; ",Advanced Materials Research,71,385,1022-6680,Oxidation of chalcopyrite (CuFeS2) by Acidithiobacillus ferrooxidans and a mixed culture of Acidithiobacillus ferrooxidans and Acidithiobacillus thiooxidans like bacterium in shake flasks,,,GES: Estado Sólido,Not DOI,,,Morales Aramburo Álvaro,C,"-1,0",,4
2003,Internacional,"Morales, AL; ",Revista de Metalurgia,39,28,0034-8570,Estudio por difracción de rayos X de los productos de corrosión del acero al carbono,,,GES: Estado Sólido,Not DOI,,,Morales Aramburo Álvaro,A2,"-1,0",,4
2001,Nacional,"Pérez, G; Barrero, CA; Morales, AL; ",Revista Colombiana de Física,33,,0120-2650,LA INTERACCIÓN CUADRUPOLAR ELÉCTRICA DE LA GOETHITA,,,GES: Estado Sólido,Not DOI,,,Barrero Meneses César A.; Morales Aramburo Álvaro,B,"-1,0",,
2003,Internacional,"Bolivar, F; Morales, A; Arroyave, C; ",Revista de Metalurgia,39,265,0034-8570,Simulación de los procesos de corrosión atmosférica durante largos períodos de tiempo de un acero autoprotector y ordinario,,,GES: Estado Sólido,Not DOI,,,Morales Aramburo Álvaro,A2,"-1,0",,5
2008,Internacional,"Osorio, Jaime; Uribe, Juan; Barrero, Cesar; Girata, Doris; Morales, Alvaro; Hoffmann, Axel; Gancedo, Ramon; ",APS March Meeting Abstracts,1,1307,0000-0000,Magnetical studies on thin films of iron oxides,,,GES: Estado Sólido,Not DOI,,,Osorio Vélez Jaime; Barrero Meneses César A.; Morales Aramburo Álvaro,00,"-1,0",,-1
2006,Nacional,"García, KE; Barrero, CA; Morales, AL; Greneche, JM; ",Revista Colombiana de Física,38,,0120-2650,RE-INTERPRETACIÓN DEL ESPECTRO MÖSSBAUER DE LA AKAGANEITA,,,GES: Estado Sólido,Not DOI,,,Barrero Meneses César A.; Morales Aramburo Álvaro,B,"-1,0",,
2005,Nacional,"Novegil-Anleo, FJ; Beltrán, JJ; Minotas, J; García, KE; Morales, AL; Pérez, G; Tobón, J; Barrero, CA; ",Revista Colombiana de Física,37,203,0120-2650,Acción de los convertidores de herrumbre en óxidos de hierro,,,GES: Estado Sólido,Not DOI,,,Morales Aramburo Álvaro; Barrero Meneses César A.,B,"-1,0",,4
2010,Internacional,"Morillo, Viviana; Salazar, Alejandro; Marquez, Marco; Morales, Alvaro; Lins, Ulysses; ",Dyna,77,93,0930-7575,BIOGENIC CRYSTALS OF MAGNETOCOCCUS FROM LA FE DAM AND CALIMA LAKE (COLOMBIA),,,GES: Estado Sólido,Not DOI,,,Morales Aramburo Álvaro,A1,"3,917",,11
2004,Nacional,"Hamann, JE; Pérez, G; Barrero, CA; Morales, AL; Da Costa, GM; ",Revista Colombiana de Física,36,,0120-2650,CARACTERIZACIÓN DE HEMATITAS DOPADAS CON Zn OBTENIDAS A PAR-TIR DE OXINATOS DE Fe-Zn TRATADOS TÉRMICAMENTE.,,,GES: Estado Sólido,Not DOI,,,Barrero Meneses César A.; Morales Aramburo Álvaro,B,"-1,0",,
2011,Internacional,"Barrero, CA; García, KE; Morales, AL; Greneche, JM; ",Corrosion Science,53,769,0010-938X,A proposal to evaluate the amount of corroded iron converted into adherent rust in steels exposed to corrosion,,,GES: Estado Sólido,10.1016/j.corsci.2010.11.003,,,Barrero Meneses César A.; Morales Aramburo Álvaro,A1,"3,261",,7
2009,Nacional,"Urquijo, J; Morales, AL; Casanova, H; Garces, J; ",Revista Colombiana de Física,41,99,0120-2650,Preparación y Caracterización de un Ferrofluido,,,GES: Estado Sólido,Not DOI,,,Morales Aramburo Álvaro,B,"-1,0",,3
2004,Nacional,"Morales, Álvaro L; ","Revista de la Academia Colombiana de Ciencias Exactas, Físicas y Naturales",28,,0370-3908,LA CIENCIA DE SIMULAR PROPIEDADES DE MATERIALES,,,GES: Estado Sólido,Not DOI,,,Morales Aramburo Álvaro,A2,"-1,0",,
2011,Internacional,"Salazar, Alejandro; Morales, Alvaro; Marquez, Marco; ",Dyna,78,72,0930-7575,Characterization of natural microcosms of estuarine magnetotactic bacteria,,,GES: Estado Sólido,Not DOI,,,Morales Aramburo Álvaro,A1,"3,843",,9
2005,Internacional,"Velásquez, AA; Gancedo, JR; Trujillo, JM; Morales, AL; Tobón, JE; Reyes, L; ",INDUSTRIAL APPLICATIONS OF THE MOSSBAUER EFFECT: International Symposium on the Industrial Applications of the Mossbauer Effect,765,389,0000-0000,Design and Construction of an Autonomous Low‐Cost Pulse Height Analyzer and a Single Channel Analyzer for Mössbauer Spectroscopy,,,GES: Estado Sólido,Not DOI,,,Morales Aramburo Álvaro,00,"-1,0",,6
2000,Internacional,"Vandenberghe, RE; Barrero, CA; Da Costa, GM; Van San, Erwin; De Grave, Eddy; ",Hyperfine Interactions,126,247,0304-3843,Mössbauer characterization of iron oxides and (oxy) hydroxides: the present state of the art,,,GES: Estado Sólido,Not DOI,,,Barrero Meneses César A.,C,"-1,0",,13
2007,Internacional,"Nomura, K; Barrero, CA; Sakuma, J; Takeda, M; ",Physical Review B,75,184411,1098-0121,Room-temperature ferromagnetism of sol-gel-synthesized Sn 1− x Fe x 57 O 2− δ powders,,,GES: Estado Sólido,10.1103/physrevb.75.184411,,,Barrero Meneses César A.,A1,"3,322",,-1
1999,Internacional,"Barrero, CA; Vandenberghe, RE; De Grave, Eddy; ",Hyperfine Interactions,122,39,0304-3843,The effect of Al-content and crystallinity on the magnetic properties of goethites,,,GES: Estado Sólido,Not DOI,,,Barrero Meneses César A.,C,"-1,0",,8
2006,Internacional,"Barrero, CA; Betancur, JD; Greneche, JM; Goya, GF; Berquó, TS; ",Geophysical Journal International,164,331,0956-540X,Magnetism in non-stoichiometric goethite of varying total water content and surface area,,,GES: Estado Sólido,10.1111/j.1365-246X.2006.02850.x,,,Barrero Meneses César A.,A1,"2,219",,9
2001,Internacional,"Barrero, CA; Ocampo, LM; Arroyave, CE; ",Corrosion Science,43,1003,0010-938X,Possible improvements in the action of some rust converters,,,GES: Estado Sólido,10.1016/S0010-938X(00)00139-6,,,Barrero Meneses César A.,A1,"2,293",,16
2007,Internacional,"Sanchez, LC; Arboleda, JD; Saragovi, C; Zysler, RD; Barrero, CA; ",Physica B,389,145,0921-4526,Magnetic and structural properties of pure hematite submitted to mechanical milling in air and ethanol,,,GES: Estado Sólido,10.1016/j.physb.2006.07.042,,,Barrero Meneses César A.,A1,"0,822",,5
2007,Internacional,"Sakuma, Junko; Nomura, Kiyoshi; Barrero, Cesar; Takeda, Masuo; ",Thin Solid Films,515,8653,0040-6090,Mössbauer studies and magnetic properties of SnO 2 doped with 57 Fe,,,GES: Estado Sólido,10.1016/j.tsf.2007.03.123,,,Barrero Meneses César A.,A1,"-1,0",,3
2004,Internacional,"Betancur, JD; Barrero, CA; Greneche, JM; Goya, GF; ",Journal of Alloys and Compounds,369,247,0925-8388,The effect of water content on the magnetic and structural properties of goethite,,,GES: Estado Sólido,10.1016/j.jallcom.2003.09.046,,,Barrero Meneses César A.,A1,"1,51",,5
2008,Internacional,"Rykov, AI; Nomura, K; Sakuma, J; Barrero, C; Yoda, Y; Mitsui, T; ",Physical Review B,77,014302,1098-0121,Dilution and clustering of Fe in the rutile phases of TiO 2 and SnO 2,,,GES: Estado Sólido,10.1103/physrevb.77.014302,,,Barrero Meneses César A.,A1,"3,322",,-1
1998,Internacional,"De Grave, Eddy; Da Costa, GM; Bowen, LH; Barrero, CA; Vandenberghe, RE; ",Hyperfine Interactions,117,245,0304-3843,Characterisation of soil-oxide analogs by applied-field 57Fe Mössbauer spectroscopy,,,GES: Estado Sólido,Not DOI,,,Barrero Meneses César A.,C,"-1,0",,26
2002,Internacional,"De Grave, Eddy; Barrero, CA; Da Costa, GM; Vandenberghe, RE; Van San, Erwin; ",Clay minerals,37,591,0009-8604,Mössbauer spectra of α-and γ-polymorphs of FeOOH and Fe2O3: effects of poor crystallinity and of Al-for-Fe substitution,,,GES: Estado Sólido,Not DOI,,,Barrero Meneses César A.,A1,"1,171",,16
2004,Internacional,"Barrero, CA; Arpe, J; Sileo, E; Sanchez, LC; Zysler, R; Saragovi, C; ",Physica B,354,27,0921-4526,Ni-and Zn-doped hematite obtained by combustion of mixed metal oxinates,,,GES: Estado Sólido,10.1016/j.physb.2004.09.013,,,Barrero Meneses César A.,A1,"0,822",,8
2006,Internacional,"Nomura, Kiyoshi; Barrero, C; Sakuma, J; Takeda, M; ",Czechoslovak Journal of Physics,56,75,0011-4626,Mössbauer study of SnO2 powders doped with dilute 57Fe prepared by a sol-gel method,,,GES: Estado Sólido,10.1007/s10582-006-0473-z,,,Barrero Meneses César A.,C,"-1,0",,7
2003,Internacional,"Mazo-Zuluaga, J; Barrero, CA; Diaz-Teran, J; Jerez, A; ",Hyperfine Interactions,148,153,0304-3843,Thermally induced magnetite–haematite transformation,,,MS: Magnetismo y Simulación; GES: Estado Sólido,Not DOI,,,Mazo Zuluaga Johan; Barrero Meneses César A.,C,"-1,0",,9
2009,Internacional,"Pérez, FR; Barrero, CA; Walker, AR Hight; García, KE; Nomura, K; ",Materials Chemistry and Physics,117,214,0254-0584,"Effects of chloride concentration, immersion time and steel composition on the spinel phase formation",,,GES: Estado Sólido,10.1016/j.matchemphys.2009.05.045,,,Barrero Meneses César A.,A1,"1,799",,10
2009,Internacional,"Pérez, FR; Barrero, CA; Arnache, O; Sánchez, LC; García, KE; Walker, AR Hight; ",Physica B,404,1347,0921-4526,Structural properties of iron phases formed on low alloy steels immersed in sodium chloride-rich solutions,,,GES: Estado Sólido,10.1016/j.physb.2008.12.020,,,Barrero Meneses César A.; Arnache Olmos Óscar L.,A1,"0,822",,7
2009,Internacional,"Nomura, K; Barrero, CA; Kuwano, K; Yamada, Y; Saito, T; Kuzmann, E; ",Hyperfine Interactions,191,25,0304-3843,57Fe Mössbauer study of sol–gel synthesized Sn1− x− y Fe x Sb y O2− δ powders,,,GES: Estado Sólido,10.1007/978-3-642-01370-6_46,,,Barrero Meneses César A.,C,"-1,0",,8
2004,Internacional,"Saragovi, C; Arpe, J; Sileo, E; Zysler, R; Sanchez, LC; Barrero, CA; ",Physics and chemistry of minerals,31,625,0342-1791,Changes in the structural and magnetic properties of Ni–substituted hematite prepared from metal oxinates,,,GES: Estado Sólido,10.1007/s00269-004-0422-y,,,Barrero Meneses César A.,A1,"1,524",,8
2010,Internacional,"Sánchez, LC; Beltran, JJ; Osorio, J; Calle, AM; Barrero, CA; ",Hyperfine Interactions,195,185,0304-3843,Fe-doped SnO 2 nanopowders obtained by sol–gel and mechanochemical alloying with and without thermal treatment,,,GES: Estado Sólido,10.1007/978-3-642-10764-1_29,,,Osorio Vélez Jaime; Barrero Meneses César A.,C,"-1,0",,5
2010,Internacional,"Beltran, JJ; Sánchez, LC; Osorio, J; Tirado, L; Baggio-Saitovitch, EM; Barrero, CA; ",Journal of materials science,45,5002,0022-2461,Crystallographic and magnetic properties of Fe-doped SnO2 nanopowders obtained by a sol–gel method,,,GES: Estado Sólido,10.1007/s10853-010-4454-z,,,Osorio Vélez Jaime; Barrero Meneses César A.,A1,"1,471",,10
2008,Internacional,"Sánchez, LC; Calle, AM; Arboleda, JD; Osorio, J; Nomura, K; Barrero, CA; ",Microelectronics Journal,39,1320,0026-2692,Fe-doped SnO 2 obtained by mechanical alloying,,,GES: Estado Sólido,Not DOI,,,Osorio Vélez Jaime; Barrero Meneses César A.,A2,"0,859",,2
2007,Internacional,"Sileo, Elsa E; Daroca, Diego Pérez; Barrero, César A; Larralde, Ana L; Giberti, Mariela S; Saragovi, Celia; ",Chemical geology,238,84,0009-2541,Influence of the genesis on the structural and hyperfine properties of Cr-substituted hematites,,,GES: Estado Sólido,10.1016/j.chemgeo.2006.10.017,,,Barrero Meneses César A.,A1,"3,531",,10
2006,Nacional,"Sánchez, LC; Perez, F; Arboleda, JD; Saragovi, C; Barrero, C; ",Revista Colombiana de Física,38,497,0120-2650,Propiedades estructurales y magnéticas de hematitas puras sometidas a aleamiento mecánico en aire,,,GES: Estado Sólido,Not DOI,,,Barrero Meneses César A.,B,"-1,0",,-1
2008,Internacional,"Calle, AM; Sanchez, LC; Arboleda, JD; Beltran, JJ; Barrero, CA; Osorio, J; Nomura, K; ",Microelectronics Journal,39,1322,0026-2692,Mixtures of iron and anatase TiO 2 by mechanical alloying,,,GES: Estado Sólido,10.1016/j.mejo.2008.01.049,,,Barrero Meneses César A.; Osorio Vélez Jaime,A2,"0,859",,2
2010,Internacional,"Pérez, FR; Barrero, CA; García, KE; ",Corrosion Science,52,2582,0010-938X,Factors affecting the amount of corroded iron converted into adherent rust in steels submitted to immersion tests,,,GES: Estado Sólido,10.1016/j.corsci.2010.04.005,,,Barrero Meneses César A.,A1,"2,316",,10
2006,Nacional,"Garzón, R; Barrero, C; García, KE; Pérez, F; Galeano, J; Salazar, A; Lorduy, H; ",Revista Colombiana de Física,38,,0120-2650,MORPHOLOGICAL ANALYSIS AND CLASSIFICATION OF TYPES OF SURFACE CORROSION DAMAGE BY DIGITAL IMAGE PROCESSING.,,,GES: Estado Sólido,Not DOI,,,Barrero Meneses César A.,B,"-1,0",,
2007,Nacional,"Pérez, F; ",Revista Colombiana de Física,39,83,0120-2650,et ál. Caracterización de herrumbres en procesos de corrosión de aceros en inmersión total,,,,Not DOI,,,,B,"-1,0",,4
2008,Nacional,"Pérez, FR; Barrero, CA; García, KE; Walker, A Hight; Tobón, J; Londoño, F; ",Revista Colombiana de Física,40,126,0120-2650,Structural and vibrational characteristics of magnetite as a corrosion product,,,GES: Estado Sólido,Not DOI,,,Barrero Meneses César A.,B,"-1,0",,-1
2008,Internacional,"Sánchez, LC; Calle, AM; Arboleda, JD; Beltran, JJ; Barrero, CA; Osorio, J; Nomura, K; ",Hyperfine Interactions,183,117,0304-3843,Fe-doped TiO2 prepared by mechanical alloying,,,GES: Estado Sólido,10.1007/978-3-540-78697-9_34,,,Barrero Meneses César A.; Osorio Vélez Jaime,C,"-1,0",,6
2003,Nacional,"Novegil-Anleo, FJ; García, KE; Barrero, CA; ",Revista Colombiana de Física,35,279,0120-2650,Transformaciones térmicas de algunos óxidos de hierro,,,GES: Estado Sólido,Not DOI,,,Barrero Meneses César A.,B,"-1,0",,-1
2009,Nacional,"Calle, AM; Sánchez, LC; Arboleda, JD; Osorio, J; Nomura, K; Barrero, CA; ",Revista Colombiana de Física,41,,0120-2650,TiO2 Dopado con Fe Obtenido por Aleamiento Mecánico,,,GES: Estado Sólido,Not DOI,,,Osorio Vélez Jaime; Barrero Meneses César A.,B,"-1,0",,
2008,Internacional,"Osorio, Jaime; Calle, Ana; Beltran, Jailes; Sanchez, Luis; Tirado, Liliana; Nomura, Kiyoshi; Barrero, Cesar; ",APS March Meeting Abstracts,1,1165,0000-0000,"Fe-Doped Sno2 Powders Obtained By Sol-Gel Method, Mechanochemical Alloying, and Thermal Treatment",,,GES: Estado Sólido,Not DOI,,,Osorio Vélez Jaime; Barrero Meneses César A.,00,"-1,0",,-1
2003,Nacional,"Betancur, JD; Barrero, CA; Greneche, JM; Goya, GF; Berquo, T; ",Revista Colombiana de Física,35,323,0120-2650,EFECTO DEL CONTENIDO DE AGUA EN LAS PROPIEDADES MAGNÉTICAS DE LA GOETHITA,,,GES: Estado Sólido,Not DOI,,,Barrero Meneses César A.,B,"-1,0",,-1
1997,Internacional,"Wu, HC; Dieperink, AEL; Paez, MJ; Ponce, WA; Scholten, O; ",CONFERENCE PROCEEDINGS-ITALIAN PHYSICAL SOCIETY,59,339,1122-1437,A generalized seniority model study of the DCX reaction and the double-beta decay,,,FN: Física Nuclear; GFIF: Grupo de Fenomenología de Interacciones Fundamentales,Not DOI,,,Wu Huachuan; Ponce Gutiérrez William Alberto,C,"-1,0",,3
2002,Internacional,"Wu, HC; Aristizabal, MF; Ponce, WA; ",Acta Physica Hungarica,16,347,1219-7580,Is nuclear structure relevant to non-mesonic hypernuclear weak decay?,,,FN: Física Nuclear; GFIF: Grupo de Fenomenología de Interacciones Fundamentales,Not DOI,,,Wu Huachuan; Ponce Gutiérrez William Alberto,A2,"-1,0",,12
2001,Internacional,"Aristizabal, MF; Wu, HC; Ponce, WA; ",Mesons and Light Nuclei,603,397,0000-0000,Non-mesonic weak decay of Lambda-hypernuclei and nuclear structure,,,FN: Física Nuclear; GFIF: Grupo de Fenomenología de Interacciones Fundamentales,Not DOI,,,Wu Huachuan; Ponce Gutiérrez William Alberto,00,"-1,0",,4
2006,Internacional,"Nardi, Enrico; Nir, Yosef; Roulet, Esteban; Racker, Juan; ",Journal of High Energy Physics,2006,164,1126-6708,The importance of flavor in leptogenesis,,,GFIF: Grupo de Fenomenología de Interacciones Fundamentales,10.1088/1126-6708/2006/01/164,,,Nardi Enrico,A1,"5,375",,-1
2008,Internacional,"Davidson, Sacha; Nardi, Enrico; Nir, Yosef; ",Physics Reports,466,105,0370-1573,Leptogenesis,,,GFIF: Grupo de Fenomenología de Interacciones Fundamentales,10.1016/j.physrep.2008.06.002,,,Nardi Enrico,A1,"18,522",,73
2009,Internacional,"Nardi, Enrico; Sannino, Francesco; Strumia, Alessandro; ",Journal of Cosmology and Astroparticle Physics,2009,043,1475-7516,Decaying dark matter can explain the e? excesses,,,GFIF: Grupo de Fenomenología de Interacciones Fundamentales,10.1088/1475-7516/2009/01/043,,,Nardi Enrico,A1,"6,389",,-1
1998,Internacional,"Guetta, Dafne; Nardi, Enrico; ",Physical Review D,58,012001,1550-7998,Searching for new physics in rare B→ τ decays,,,GFIF: Grupo de Fenomenología de Interacciones Fundamentales,10.1103/physrevd.58.012001,,,Nardi Enrico,A1,"5,05",,-1
1999,Internacional,"Bergmann, Sven; Grossman, Yuval; Nardi, Enrico; ",Physical Review D,60,093008,1550-7998,Neutrino propagation in matter with general interactions,,,GFIF: Grupo de Fenomenología de Interacciones Fundamentales,10.1103/PhysRevD.60.093008,,,Nardi Enrico,A1,"5,05",,-1
2006,Internacional,"Nardi, Enrico; Nir, Yosef; Racker, Juan; Roulet, Esteban; ",Journal of High Energy Physics,2006,068,1126-6708,On Higgs and sphaleron effects during the leptogenesis era,,,GFIF: Grupo de Fenomenología de Interacciones Fundamentales,10.1088/1126-6708/2006/01/068,,,Nardi Enrico,A1,"5,375",,-1
2007,Internacional,"Engelhard, Guy; Grossman, Yuval; Nardi, Enrico; Nir, Yosef; ",Physical Review Letters,99,081802,0031-9007,Importance of the heavier singlet neutrinos in leptogenesis,,,GFIF: Grupo de Fenomenología de Interacciones Fundamentales,10.1103/PhysRevLett.99.081802,,,Nardi Enrico,A1,"7,18",,-1
2007,Internacional,"Nardi, Enrico; Racker, Juan; Roulet, Esteban; ",Journal of High Energy Physics,2007,090,1126-6708,"CP violation in scatterings, three body processes and the Boltzmann equations for leptogenesis",,,GFIF: Grupo de Fenomenología de Interacciones Fundamentales,10.1088/1126-6708/2007/09/090,,,Nardi Enrico,A1,"5,375",,-1
1999,Internacional,"Guetta, Dafne; Mira, Jesus M; Nardi, Enrico; ",Physical Review D,59,034019,1550-7998,B→ τ μ (X) decays in SUSY models without R parity,,,GFIF: Grupo de Fenomenología de Interacciones Fundamentales,10.1103/physrevd.59.034019,,,Nardi Enrico,A1,"5,05",,-1
2008,Internacional,"Sierra, Diego Aristizabal; Losada, Marta; Nardi, Enrico; ",Physics Letters B,659,328,0370-2693,Variations on leptogenesis,,,GFIF: Grupo de Fenomenología de Interacciones Fundamentales,10.1016/j.physletb.2007.10.030,,,Nardi Enrico,A1,"4,034",,8
2009,Internacional,"Sierra, D Aristizabal; Losada, Marta; Nardi, Enrico; ",Journal of Cosmology and Astroparticle Physics,2009,015,1475-7516,Lepton flavor equilibration and leptogenesis,,,GFIF: Grupo de Fenomenología de Interacciones Fundamentales,10.1088/1475-7516/2009/12/015,,,Nardi Enrico,A1,"6,389",,-1
2011,Internacional,"Alonso, Rodrigo; Isidori, Gino; Merlo, Luca; Munoz, Luis Alfredo; Nardi, Enrico; ",Journal of High Energy Physics,2011,1,1126-6708,Minimal flavour violation extensions of the seesaw,,,GFIF: Grupo de Fenomenología de Interacciones Fundamentales,10.1007/JHEP06(2011)037,,,Nardi Enrico,A1,"6,049",,15
2009,Internacional,"Sierra, D Aristizabal; Nardi, Enrico; Muñoz, Luis Alfredo; ",Physical Review D,80,016007,1550-7998,Purely flavored leptogenesis,,,GFIF: Grupo de Fenomenología de Interacciones Fundamentales,10.1103/PhysRevD.80.016007,,,Nardi Enrico,A1,"5,05",,-1
2008,Internacional,"Duque, Luis F; Gutierrez, Diego A; Nardi, Enrico; Norena, Jorge; ",Physical Review D,78,035003,1550-7998,Fermion mass hierarchy and nonhierarchical mass ratios in S U (5)× U (1) F,,,GFIF: Grupo de Fenomenología de Interacciones Fundamentales,10.1103/PhysRevD.78.035003,,,Nardi Enrico,A1,"5,05",,-1
