Year,Type,Authors,Publication,Volume,Pages,ISSN,Title,Impreso,PDF,Group,DOI,Type II,Proyect ID,Institution Authors,Colciencias Clasification,Impact Factor,Proyecto,NPages
2010,Internacional,"Benavides, Richard H; Ponce, William A; Giraldo, Yithsbey; ",Physical Review D,82,013004,1550-7998,S U (3) c⊗ S U (3) L⊗ U (1) X models with four families,,,GFIF: Grupo de Fenomenología de Interacciones Fundamentales,10.1103/physrevd.82.013004,,,Ponce Gutiérrez William Alberto,A1,"4,922",,-1
1998,Internacional,"Cotti, Umberto; Gaitan, Ricardo; Hernandez-Galeana, A; Ponce, William A; Zepeda, Arnulfo; ",International Journal of Modern Physics A,13,5557,0217-751X,Lepton mass generation and family number violation mechanism in the SU (6) L⊗ U (1) Y model,,,GFIF: Grupo de Fenomenología de Interacciones Fundamentales,Not DOI,,,Ponce Gutiérrez William Alberto,A1,"0,982",,16
2006,Internacional,"Ponce, William A; Sánchez, Luis A; ",Journal of High Energy Physics,1,208,1126-6708,A Supersymmetric Three-Family Model Without Higgsinos,,,GFIF: Grupo de Fenomenología de Interacciones Fundamentales,Not DOI,,,Ponce Gutiérrez William Alberto,A1,"5,375",,4
2009,Nacional,"Herrera, JA; Benavides, RH; Ponce, WA; ",Revista Colombiana de Física,41,,0120-2650,Un Modelo 331 sin Universalidad Leptonica.,,,GFIF: Grupo de Fenomenología de Interacciones Fundamentales,Not DOI,,,Ponce Gutiérrez William Alberto,B,"-1,0",,
2001,Internacional,"Garcia, E; Hernández-Galeana, A; Jaramillo, D; Ponce, WA; Zepeda, A; ",Particles and Fields,562,285,1434-6052,Radiative quark mass matrix generation in a model with a U (1) X symmetry,,,GFIF: Grupo de Fenomenología de Interacciones Fundamentales,Not DOI,,,Ponce Gutiérrez William Alberto,C,"3,248",,5
2003,Internacional,"Flórez, Juán B; Ponce, William A; Sánchez, Luis A; ",PARTICLES AND FIELDS: Tenth Mexican School on Particles and Fields,670,323,0000-0000,Fermion Mass Matrices for a 3‐3‐1 Model,,,GFIF: Grupo de Fenomenología de Interacciones Fundamentales,Not DOI,,,Ponce Gutiérrez William Alberto,00,"-1,0",,6
2000,Internacional,"Ponce, William A; ",Particles and Fields,531,332,1434-6052,Horizontal interactions and gauge theories,,,GFIF: Grupo de Fenomenología de Interacciones Fundamentales,10.1063/1.1315059,,,Ponce Gutiérrez William Alberto,C,"3,248",,5
2011,Internacional,"Giraldo, Yithsbey; Ponce, William A; ",European Physical Journal C,71,1693,1434-6044,Scalar potential without cubic term in 3-3-1 models without exotic electric charges,,,GFIF: Grupo de Fenomenología de Interacciones Fundamentales,10.1140/epjc/s10052-011-1693-3,,,Ponce Gutiérrez William Alberto,A1,"3,248",,-1
1999,Internacional,"Pérez-Lorenzana, Abdel; Ponce, William A; Zepeda, Arnulfo; ",The eighth mexican school on particles and fields,490,413,0000-0000,SUSY string-GUTs,,,GFIF: Grupo de Fenomenología de Interacciones Fundamentales,10.1063/1.1301412,,,Ponce Gutiérrez William Alberto,00,"-1,0",,5
1980,Internacional,"Ponce, WA; ",Physical Review D,22,,1550-7998,Quark diagrams and the. cap omega./sup-/nonleptonic decays,,,GFIF: Grupo de Fenomenología de Interacciones Fundamentales,Not DOI,,,Ponce Gutiérrez William Alberto,A1,"5,05",,
1996,Internacional,"Ponce, William A; Zepeda, Arnulfo; ",Yukawa couplings and the origins of mass,2,261,0000-0000,FERMION MASSES IN SOME MODELS WITH HORIZONTAL SYMMETRIES1,,,GFIF: Grupo de Fenomenología de Interacciones Fundamentales,Not DOI,,,Ponce Gutiérrez William Alberto,00,"-1,0",,-1
2006,Internacional,"Barrera, John Fredy; Henao, Rodrigo; Tebaldi, Myrian; Torroba, Roberto; Bolognini, Néstor; ",Optics Communications,261,29,0030-4018,Multiple image encryption using an aperture-modulated optical system,,,GOF: Grupo Óptica y Fotónica,10.1016/j.optcom.2005.11.055,,,Barrera Ramírez John Fredy; Henao Henao Rodrigo,A1,"1,552",,5
2006,Internacional,"Barrera, John Fredy; Henao, Rodrigo; Tebaldi, Myrian; Torroba, Roberto; Bolognini, Nestor; ",Optics Communications,260,109,0030-4018,Multiplexing encrypted data by using polarized light,,,GOF: Grupo Óptica y Fotónica,10.1016/j.optcom.2005.10.053,,,Barrera Ramírez John Fredy; Henao Henao Rodrigo,A1,"1,552",,4
2006,Internacional,"Barrera, John Fredy; Henao, Rodrigo; Tebaldi, Myrian; Torroba, Roberto; Bolognini, Néstor; ",Optics Communications,259,532,0030-4018,Multiplexing encryption–decryption via lateral shifting of a random phase mask,,,GOF: Grupo Óptica y Fotónica,10.1016/j.optcom.2005.09.027,,,Barrera Ramírez John Fredy; Henao Henao Rodrigo,A1,"1,552",,5
2007,Internacional,"Barrera, John Fredy; Henao, Rodrigo; Tebaldi, Myrian; Torroba, Roberto; Bolognini, Néstor; ",Optics Communications,276,231,0030-4018,Multiple-encoding retrieval for optical security,,,GOF: Grupo Óptica y Fotónica,10.1016/j.optcom.2007.04.040,,,Barrera Ramírez John Fredy; Henao Henao Rodrigo,A1,"1,552",,6
2003,Internacional,"Arizaga, Ricardo; Henao, Rodrigo; Torroba, Roberto; ",Optics Communications,221,43,0030-4018,Fully digital encryption technique,,,GOF: Grupo Óptica y Fotónica,10.1016/S0030-4018(03)01462-7,,,Henao Henao Rodrigo,A1,"1,552",,5
2008,Internacional,"Barrera, John Fredy; Henao, Rodrigo; Tebaldi, Myrian; Torroba, Roberto; Bolognini, Néstor; ",Optik,119,139,0030-4026,Code retrieval via undercover multiplexing,,,GOF: Grupo Óptica y Fotónica,10.1016/j.ijleo.2006.07.008,,,Barrera Ramírez John Fredy; Henao Henao Rodrigo,A2,"0,507",,4
1999,Internacional,"Angel, Luciano; Tebaldi, Myrian; Henao, Rodrigo; ",Optics Communications,164,247,0030-4018,Phase stepping in Lau interferometry,,,GOF: Grupo Óptica y Fotónica,10.1016/S0030-4018(99)00172-8,,,Henao Henao Rodrigo,A1,"1,552",,9
2005,Internacional,"Barrera, John Fredy; Henao, Rodrigo; Torroba, Roberto; ",Optics Communications,248,35,0030-4018,Optical encryption method using toroidal zone plates,,,GOF: Grupo Óptica y Fotónica,10.1016/j.optcom.2004.11.086,,,Barrera Ramírez John Fredy; Henao Henao Rodrigo,A1,"1,552",,6
2009,Internacional,"Rueda, Edgar; Barrera, John Fredy; Henao, Rodrigo; Torroba, Roberto; ",Optical Engineering,48,027006,0091-3286,Lateral shift multiplexing with a modified random mask in a joint transform correlator encrypting architecture,,,GOF: Grupo Óptica y Fotónica,10.1117/1.3080753,,,Rueda Muñoz Edgar Alberto; Barrera Ramírez John Fredy; Henao Henao Rodrigo,A1,"0,722",,-2700626999
